,allspice,nutmeg,tomato sauce,carrots,celery,pasta,thyme,tomato,olives,parsley,rice,dill,garlic,mediterranean cheese,eggplant,bell pepper,yogurt,onion,cucumber,lemon
cinnamon,128,128,29,0,0,0,0,44,0,0,0,0,62,85,111,0,0,126,0,0
allspice,0,2,2,0,0,0,0,3,0,0,0,0,5,5,8,0,0,1,0,0
tomato,10,7,6,0,0,0,0,0,7,0,7,0,0,13,11,0,0,10,0,0
broth,0,0,0,16,16,13,12,0,0,0,0,0,0,0,0,0,0,0,0,15
carrots,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,6
celery,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3
cucumber,0,0,0,0,0,0,0,11,11,11,12,9,7,10,0,0,7,9,0,8
parsley,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,2,0,5,7
tomato sauce,9,13,0,0,0,0,0,12,0,0,0,0,2,8,8,0,0,11,0,0
rice,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
thyme,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
garlic,19,13,17,0,0,0,0,17,0,5,0,2,0,17,18,5,6,12,0,7
mediterranean cheese,8,3,3,0,0,0,0,2,2,0,2,0,0,0,7,3,2,2,0,2
onion,44,57,5,0,0,0,0,18,0,0,5,0,28,44,44,0,0,0,5,0
bell pepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
yogurt,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,0,0,0,1,2
nutmeg,20,0,0,0,0,0,0,6,0,0,0,0,12,16,20,0,0,4,0,0
lemon,0,0,0,1,1,1,0,0,0,0,0,1,2,1,0,1,0,0,1,0
eggplant,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
