Ingredient,Sum
onion,3027
garlic,3020
vanilla,1970
lemon,1648
bell pepper,1311
tomato,1375
chocolate,1077
mushrooms,1151
italian cheese,956
parsley,1051
cinnamon,1038
berries,891
corn,861
broth,903
ginger,791
lime,637
carrots,765
vinegar,692
thyme,684
basil,618
rice,634
fresh pepper,585
almonds,556
cilantro,634
potato,600
honey,592
wine,565
apple,538
pasta,518
orange,408
cocoa,451
chili powder,458
yogurt,476
bacon,445
hot sauce or salsa,422
banana,383
nutmeg,405
soy sauce,399
celery,382
cayenne,377
shallot,351
syrup,337
mediterranean cheese,352
mayonnaise,342
coconut,305
coffee,285
bay leaves,331
oregano,312
tomato sauce,295
paprika,314
prepared mustard,291
spinach,260
mint,290
avocado,274
rosemary,258
chives,221
pineapple,228
peanut butter,200
worcestershire sauce,225
cherry,200
curry,191
cabbage,200
turmeric,197
summer squash,176
barbecue sauce,158
dill,162
pear,125
mango,157
mustard seed,164
chickpea,159
cucumber,146
broccoli,150
coriander,145
cornmeal,134
eggplant,137
sage,132
cauliflower,121
grain,120
dates,117
olives,129
raisin,123
ketchup,121
italian cured meat,112
fresh chile,103
sesame seeds,114
clove,114
flaxseed,112
winter squash,106
kale,101
beer,91
cardomom,99
asparagus,99
allspice,97
capers,96
petite peas,96
agave,86
fennel,91
molasses,89
masala,89
watermelon,65
tofu,85
dried chile,85
puff pastry,78
artichoke,73
plantain,71
apricot,71
canned pumpkin,69
brussels sprouts,66
swiss chard,62
beets,44
peach,60
grapes,59
fish sauce,58
couscous,58
enchilada sauce,54
grits,53
seedsarugula,0
tarragon,52
leek,51
marjoram,48
liquid smoke,48
oats,47
brie,47
purple plum,30
snow peas,46
peppermint extract,45
sunflower kernels,45
rhubarb,44
wonton wrappers,44
polenta,43
lentils,42
hazelnuts,42
tahini,42
pumpkin pie spice,41
celery salt,41
pumpkin seeds,39
poppy seeds,38
horseradish,37
daikon radish,37
teriyaki sauce,37
apple juice,26
parsnip,36
blackeyed peas,36
hoisin sauce,32
saffron,35
asafoetida,34
creme fraiche,33
mexican cheese,32
celery seed,31
maple,31
tamari,30
marsala,30
herbes de provence,30
port,29
dulce de leche,29
fig,28
yam,28
chinese five spice,28
arrowroot,28
fenugreek,27
amaretto liqueur,18
water chestnuts,27
bran,26
quail,13
pita,25
whiskey,25
legumes,25
gochujang,24
xylitol,24
farro,24
mexican crema,24
hollandaise sauce,24
caramel sauce,24
green tea bag,23
masa harina,17
thai chili,23
coconut rum,22
tomatillos,22
dried currants,22
lemon grass,21
boquerones,20
bitters,20
chai spice,10
broccolini,19
guacamole,19
bourbon,19
amchoor,19
radish,19
ladyfingers,17
black bean sauce,17
tea,17
star anise,16
ajwain,16
watercress,16
chili sauce,16
anise,16
broccoli rabe,16
kelp,15
bok choy,15
guava,15
vodka,15
crepes,15
green grapes,14
caraway seeds,14
vegeta,13
egg noodles,13
banana liqueur,13
black tea bag,13
wasabi powder,12
miso,12
white grape juice,12
fresh lavender,12
korean bbq marinade,12
bottle gourd,11
grand marnier,11
sweet chili sauce,11
escarole,11
cassava,11
radicchio,11
moscato,11
lemon pepper,11
paneer,11
prunes,11
balsamic,11
hibiscus,11
tequila,11
sardines,11
turnip,10
pickle juice,10
gherkins,10
orange marmalade,10
stinging nettle,10
mini peppers,10
carob powder,10
soba noodles,10
zaatar,9
marzipan,9
orange bitters,9
matcha,9
pesto,9
rose water,8
matzo meal,8
quark,8
okra,8
pico de gallo,8
chili garlic sauce,8
tangerine,8
file powder,8
cracked wheat,8
eggnog,8
kefir,7
dandelion greens,7
harissa,7
sprouts,7
squash blossoms,7
grapefruit,7
tamarind pulp,7
savory,6
baharat,6
douchi,6
sucralose,5
jicama,3
